j,H2,O2,N2,T,mu
9360,0.126801,0.584931,0.288268,799.833,3.38596e-06
9361,0.199084,0.186613,0.614303,1265.34,4.02167e-06
9362,0.016039,0.229263,0.754698,1652.85,5.89402e-06
9363,0.0197118,0.518566,0.461723,2392.76,7.75411e-06
9364,0.640356,0.0837969,0.275847,774.905,2.0033e-06
9365,0.05227,0.0654325,0.882297,1356.9,4.91551e-06
9366,0.17007,0.485318,0.344612,354.257,1.82363e-06
9367,0.280113,0.422533,0.297354,1855.09,4.81541e-06
9368,0.448493,0.128501,0.423006,1157.51,2.97936e-06
9369,0.683155,0.156842,0.160003,2155.02,3.79747e-06
9370,0.119581,0.205138,0.675282,1450.82,4.83188e-06
9371,0.446107,0.190952,0.362941,1090.4,2.88394e-06
9372,0.326081,0.619599,0.0543201,1508.29,4.08914e-06
9373,0.400466,0.408007,0.191527,683.216,2.24055e-06
9374,0.515236,0.213817,0.270947,448.088,1.52801e-06
9375,0.366034,0.147714,0.486252,1007.68,2.92208e-06
9376,0.383659,0.143607,0.472733,1210.78,3.24041e-06
9377,0.669396,0.0770306,0.253573,685.171,1.81621e-06
9378,0.630086,0.0861899,0.283724,853.737,2.14757e-06
9379,0.163156,0.521311,0.315532,1454.48,4.74912e-06
9380,0.356869,0.43733,0.205802,1158.2,3.29789e-06
9381,0.467624,0.255235,0.277142,709.49,2.15131e-06
9382,0.416419,0.135974,0.447607,858.568,2.51884e-06
9383,0.286376,0.442545,0.271078,2181.49,5.31787e-06
9384,0.34795,0.151928,0.500123,1013.37,2.98201e-06
9385,0.245653,0.175763,0.578584,1037.99,3.35693e-06
9386,0.38713,0.27137,0.3415,887.746,2.66517e-06
9387,0.377998,0.601178,0.0208248,646.164,2.23444e-06
9388,0.639584,0.142261,0.218155,1623.86,3.24673e-06
9389,0.757692,0.0564577,0.18585,680.292,1.71948e-06
9390,0.616105,0.0894474,0.294447,888.771,2.22422e-06
9391,0.0768162,0.513512,0.409672,1747.84,5.95317e-06
9392,0.502915,0.200526,0.296558,766.747,2.19632e-06
9393,0.601322,0.361298,0.0373799,912.193,2.32016e-06
9394,0.332278,0.390168,0.277554,449.646,1.79932e-06
9395,0.437757,0.214424,0.34782,2110.02,4.45151e-06
9396,0.193344,0.359601,0.447055,465.892,2.12142e-06
9397,0.49454,0.0882292,0.417231,2115.02,4.2303e-06
9398,0.448379,0.379591,0.17203,374.298,1.43818e-06
9399,0.271577,0.612373,0.11605,668.503,2.54063e-06
9400,0.371174,0.146516,0.48231,878.458,2.65948e-06
